Arrival_date,Departure_Date,Products_cost,Departure_Place,Arrival_Place
1575-8-28,1575-3-1,5733258,makeon,str. clearly.trade
1508-4-6,1508-3-9,173927,Measurecenter,str. despite.loss
1814-3-26,1814-2-9,22514226,FocusMan,str. mouthmodel
1614-4-10,1614-1-1,26621889,ask.ok,str. networknetwork
1982-7-22,1982-2-2,27629948,agentbecause,str. evenstation
1555-8-6,1555-7-6,33506813,firstBar,str. voicesend
1652-7-22,1652-3-4,84107141,meetimage,str. withinincrease
1855-9-20,1855-3-1,43663189,Treatemployee,str. peacefirm
1743-11-21,1743-5-17,73915864,officesecurity,str. Developmentdream
1947-6-24,1947-6-22,25766926,Theoryresource,str. Democratpass.
1937-12-14,1937-11-16,84497165,saySouthern,str. turnthat
1897-2-17,1897-1-19,18081802,ontohome.,str. attorneySocial
1534-12-17,1534-8-18,40267852,yourselfpartner,str. shoulderopen
1700-11-7,1700-4-20,98164419,howeverdifferent,str. wouldprofessional.
1665-9-1,1665-3-24,56959322,performstudent,str. bluekey
1854-11-22,1854-7-18,69678142,hotwalk,str. agoago
1974-9-15,1974-9-14,14348622,never.nor,str. treatpaper
1951-8-15,1951-4-13,46294529,yourselfpartner,str. four.Energy
1962-10-11,1962-7-5,5717303,childlose,str. expertlaw
1968-9-26,1968-6-24,63616779,"along.
Avoidbenefit",str. theireducation
1978-5-9,1978-3-23,88784406,nowhand,str. hehand
1947-1-18,1947-1-17,99865034,situationsurface.,str. mouthmodel
1686-12-11,1686-1-6,19104444,methodCatch,str. billclearly
1515-10-8,1515-5-17,54102974,throughoutknow,str. Developmentdream
1859-10-11,1859-1-24,41087766,thensuggest,str. rightattack
1828-11-17,1828-7-8,60525769,seem.policy,str. representmoney
1556-10-13,1556-4-2,32940088,churchInstitution,str. totaltotal
1941-9-12,1941-5-6,52748009,MeetMind,str. weightadmit
1524-11-15,1524-9-4,7810745,joindrug,str. scoreprogram.
1733-10-17,1733-4-11,37636130,spendspend,str. detailDevelopment
1773-12-5,1773-12-4,61043386,turnseries,str. changechange
1883-7-20,1883-1-13,9875839,nameof,str. pattern.hand
1732-8-9,1732-1-1,82326603,InsteadInstead,str. charge.approach
